comment,author,date,num_likes
2화엔제나옴,@user-xd4gr9uk8l,2024-02-19T06:11:31Z,1
"저도 기달려요😢😢😢😢😢😢😢 <a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2576"">42:56</a>분",@user-jc4wn9cs6e,2024-02-19T12:50:20Z,0
아 레전드ㅋㅋㅋㅋ큐ㅠㅠㅠ 아근데 마지막에 뜰님 금되시는거 레전듴ㅋㅋㅋ <br>근데 또 혹시 마지막에 노트 나오는거면 시리즈물..?,@user-ch4je1yy8r,2024-02-19T03:25:31Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=853"">14:13</a> 개인적으로 젤 웃김 ㅠ 라임 미쳐따~~~",@dnadndidna,2024-02-18T16:24:25Z,1
다음화 있어요?,@user-wg6yy6ie5c,2024-02-18T01:44:15Z,0
마법소녀<br>박슬기<br>3×살,@user-nm1dc6lf5h,2024-02-16T13:21:50Z,0
언데드..라더님...?,@user-hy4np6tc3f,2024-02-16T13:16:51Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=374"">6:14</a><br><a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=558"">9:18</a><br><a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=608"">10:08</a><br><a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1060"">17:40</a><br><a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1104"">18:24</a><br><a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1515"">25:15</a>",@user-vt2tp5tz4o,2024-02-16T11:19:14Z,2
변신할 때 시크릿쥬쥬 같ㅋㅋㅋ,@Gam_g0000,2024-02-16T07:32:20Z,0
환장하것다 ㄹㅇ ㅋㅋㅋㅋ,@user-vr3px2lz3u,2024-02-14T14:06:25Z,0
실제 대학원생들이 보면 뒷목잡고 쓰러지겠다 논문원서 태우는거 보고 5초동안 영상 못틀음..,@Chldbawa1217_wow,2024-02-12T13:16:45Z,1
담화.. 언제 나오지잉..,@Cotton_candy0703,2024-02-11T12:28:58Z,0
